ID,name,Geography,History,Mathematics,Literature,Computer Science,Biology,Statistics,Physics,Chemistry,Medicine,Economics,Philosophy,Psychology,Music,Cinema,Television,Sport
Q101730,1998 FIFA World Cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101740,Benoit Mandelbrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101751,1994 FIFA World Cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1017948,Butler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101797,Winona Ryder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1018,Nova Gorica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1018418,Reigate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1018448,Washington,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1018467,Elizabeth City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1018481,Bye Bye Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1018487,Bye Bye Birdie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101849,Calvinism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101861,Bobby E. Lüthge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1018614,Byron Haskin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1019,Madagascar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101912,Willi Schur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101918,Apeldoorn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1019203,Order of Lāčplēsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101929,immunology,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Q1019345,Bærum SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101959,Borussia Mönchengladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101965,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1019805,Oneonta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101991,inflammation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1020,Malawi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10201,Pragelato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102027,Fabio Cannavaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1020603,Stage Door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1021,Kranj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1021026,Rocky Mount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1021164,Pontypool,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102124,Sigourney Weaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102139,Margrethe II of Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1021395,Peterborough,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102140,Henry II of England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102158,Narva,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1022,Stuttgart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1022046,Evening Mood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102217,Vitebsk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102225,Harry Potter and the Goblet of Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102235,Harry Potter and the Order of the Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q102244,Harry Potter and the Chamber of Secrets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
