entity,rel,objt,pageTitle_entity,views_entity,pageTitle_objt,views_objt
Q113135527,P161,Q61740675,Saltburn (film),334803,Archie Madekwe,1081968
Q113135527,P161,Q979114,Saltburn (film),334803,Paul Rhys,265751
Q113135527,P161,Q27505523,Saltburn (film),334803,Lolly Adefope,358989
Q113135527,P161,Q7306585,Saltburn (film),334803,Reece Shearsmith,356739
Q113135527,P750,Q4740868,Saltburn (film),334803,Amazon MGM Studios,128809
Q113135527,P750,Q179200,Saltburn (film),334803,Metro-Goldwyn-Mayer,1459159
Q113135527,P495,Q145,Saltburn (film),334803,United Kingdom,13063684
Q113135527,P7573,Q74434540,Saltburn (film),334803,,
Q113135527,P1657,Q18665344,Saltburn (film),334803,,
Q113135527,P2061,Q20970432,Saltburn (film),334803,Fullscreen (aspect ratio),44829
Q113135527,P462,Q22006653,Saltburn (film),334803,,
Q113135527,P86,Q76163023,Saltburn (film),334803,,
Q113135527,P2554,Q22115391,Saltburn (film),334803,,
Q113135527,P1040,Q95747083,Saltburn (film),334803,,
Q193697,P358,Q1083337,Sugababes,133045,Sugababes discography,82601
Q193697,P910,Q8824122,Sugababes,133045,Category:Sugababes,326
Q193697,P31,Q215380,Sugababes,133045,Band (rock and pop),106061
Q193697,P136,Q37073,Sugababes,133045,Pop music,2104713
Q193697,P136,Q850412,Sugababes,133045,Contemporary R&B,512326
Q193697,P136,Q188450,Sugababes,133045,Electropop,378737
Q193697,P136,Q316930,Sugababes,133045,Dance music,271128
Q193697,P264,Q935090,Sugababes,133045,London Recordings,26698
Q193697,P264,Q190585,Sugababes,133045,Island Records,343307
Q193697,P264,Q202585,Sugababes,133045,RCA Records,558050
Q193697,P264,Q231694,Sugababes,133045,Interscope Records,727082
Q193697,P1411,Q3841596,Sugababes,133045,MTV Europe Music Award for Best UK & Ireland Act,4254
Q193697,P740,Q84,Sugababes,133045,London,6314827
Q193697,P737,Q588820,Sugababes,133045,Cocteau Twins,518414
Q193697,P1424,Q22883719,Sugababes,133045,,
Q193697,P495,Q145,Sugababes,133045,United Kingdom,13063684
Q193697,P527,Q236240,Sugababes,133045,Siobhán Donaghy,281244
Q193697,P527,Q233268,Sugababes,133045,Mutya Buena,328308
Q193697,P527,Q235772,Sugababes,133045,Keisha Buchanan,273363
Q193697,P527,Q233475,Sugababes,133045,Heidi Range,304673
Q193697,P527,Q242104,Sugababes,133045,Amelle Berrabah,134984
Q193697,P527,Q237552,Sugababes,133045,Jade Ewen,164741
Q193697,P6365,Q8824126,Sugababes,133045,Category:Sugababes members,1870
Q5269211,P31,Q14204246,Wikipedia:Featured pictures,248263,,
Q5269211,P910,Q9719326,Wikipedia:Featured pictures,248263,,
Q49619,P31,Q3186692,2024,107822,Calendar year,230891
Q49619,P31,Q217024,2024,107822,Leap year starting on Monday,28498
Q49619,P31,Q56389217,2024,107822,,
Q49619,P361,Q534495,2024,107822,2020s,411568
Q49619,P361,Q12138,2024,107822,Gregorian calendar,1692829
Q49619,P155,Q49622,2024,107822,2023,7776090
Q49619,P156,Q49616,2024,107822,2025,208549
Q49619,P910,Q7137306,2024,107822,Category:2024,4967
Q49619,P527,Q61312882,2024,107822,January 2024,1170
Q49619,P527,Q61312938,2024,107822,February 2024,1172
Q49619,P527,Q61312976,2024,107822,March 2024,1043
Q49619,P527,Q61313056,2024,107822,April 2024,918
Q49619,P527,Q61312957,2024,107822,May 2024,454
Q49619,P527,Q61312789,2024,107822,June 2024,286
Q49619,P527,Q61312808,2024,107822,July 2024,240
Q49619,P527,Q61313036,2024,107822,August 2024,146
Q49619,P527,Q61312994,2024,107822,,
Q49619,P527,Q61313017,2024,107822,,
Q49619,P527,Q61312920,2024,107822,November 2024,175
Q49619,P527,Q61312902,2024,107822,December 2024,183
Q49619,P460,Q110663453,2024,107822,,
Q49619,P460,Q116219053,2024,107822,,
Q49619,P12686,Q9725273,2024,107822,,
