head,rel,tail
Q123870,P106,Q2259451
Q123870,P106,Q488205
Q123870,P106,Q10798782
Q123870,P27,Q145
Q123870,P136,Q37073
Q123870,P136,Q9759
Q123870,P136,Q11399
Q123870,P1303,Q51290
Q123870,P1303,Q17172850
Q123870,P1303,Q128309
Q123870,P1343,Q67311526
Q123870,P1412,Q1860
Q936394,P407,Q1860
Q936394,P407,Q7737
Q936394,P407,Q188
Q936394,P407,Q150
Q936394,P407,Q1321
Q936394,P407,Q652
Q936394,P407,Q5146
Q936394,P407,Q5287
Q936394,P452,Q4373046
Q936394,P495,Q16
Q936394,P17,Q16
Q936394,P1056,Q185529
Q111629600,P495,Q30
Q111629600,P364,Q1860
Q111629600,P462,Q22006653
Q111629600,P915,Q99
Q111629600,P750,Q907311
Q111629600,P136,Q471839
Q111629600,P136,Q319221
Q111629600,P437,Q723685
Q219237,P27,Q145
Q219237,P106,Q488205
Q219237,P106,Q2722764
Q219237,P106,Q639669
Q219237,P106,Q177220
Q219237,P136,Q316930
Q219237,P136,Q211756
Q219237,P136,Q131272
Q219237,P1303,Q6607
Q219237,P1303,Q17172850
Q219237,P264,Q330629
Q219237,P264,Q202585
Q219237,P264,Q155152
Q219237,P1343,Q67311526
Q219237,P1411,Q1453643
Q219237,P1412,Q1860
Q219237,P551,Q84
Q229760,P106,Q177220
Q229760,P106,Q33999
Q229760,P106,Q4610556
Q229760,P106,Q10800557
Q229760,P106,Q753110
Q229760,P106,Q2405480
Q229760,P106,Q822146
Q229760,P106,Q488205
Q229760,P412,Q186506
Q229760,P136,Q850412
Q229760,P264,Q183387
Q229760,P264,Q202440
Q229760,P1303,Q5994
Q229760,P1303,Q17172850
Q229760,P101,Q36834
Q229760,P101,Q222749
Q229760,P1412,Q1860
Q229760,P27,Q145
Q229760,P39,Q19969187
Q192217,P106,Q10798782
Q192217,P106,Q10800557
Q192217,P106,Q245068
Q192217,P106,Q28389
Q192217,P106,Q2526255
Q192217,P106,Q3282637
Q192217,P106,Q2405480
Q192217,P27,Q30
Q192217,P19,Q62
Q192217,P102,Q29468
Q192217,P1412,Q1860
Q192217,P1343,Q67311526
Q192217,P166,Q602299
Q182655,P19,Q84
Q182655,P166,Q12201477
Q182655,P166,Q833163
Q182655,P166,Q17985761
Q182655,P166,Q179191
Q182655,P27,Q145
Q182655,P106,Q488205
Q182655,P106,Q177220
Q182655,P106,Q855091
Q182655,P106,Q55960555
Q182655,P412,Q27914
Q182655,P136,Q11399
Q182655,P136,Q193355
Q182655,P136,Q45981
Q182655,P136,Q37073
Q182655,P136,Q187760
Q182655,P1303,Q6607
Q182655,P1303,Q17172850
Q182655,P1303,Q51290
Q182655,P264,Q843402
Q182655,P264,Q202440
Q182655,P264,Q193023
Q182655,P264,Q165745
Q182655,P1343,Q67311526
Q182655,P103,Q1860
Q182655,P1412,Q1860
Q182655,P6275,Q373087
Q182655,P7763,Q73555012
Q182655,P551,Q127856
Q348571,P106,Q177220
Q348571,P106,Q488205
Q348571,P106,Q36834
Q348571,P27,Q30
Q348571,P19,Q16568
Q348571,P136,Q11399
Q348571,P1196,Q21142718
Q348571,P412,Q31687
Q348571,P264,Q38903
Q348571,P264,Q202440
Q348571,P1303,Q17172850
Q106298596,P495,Q668
Q106298596,P364,Q8097
Q106298596,P462,Q22006653
Q113135527,P364,Q1860
Q113135527,P136,Q2484376
Q113135527,P136,Q130232
Q113135527,P57,Q16207879
Q113135527,P58,Q16207879
Q113135527,P162,Q16207879
Q113135527,P495,Q145
Q113135527,P462,Q22006653
Q193697,P136,Q37073
Q193697,P136,Q850412
Q193697,P136,Q188450
Q193697,P136,Q316930
Q193697,P264,Q190585
Q193697,P264,Q202585
Q193697,P264,Q231694
Q193697,P740,Q84
Q193697,P495,Q145
Q28561969,P106,Q2252262
Q28561969,P106,Q177220
Q28561969,P106,Q753110
Q28561969,P27,Q30
Q28561969,P136,Q11401
Q28561969,P136,Q3071
Q28561969,P136,Q11366
Q28561969,P136,Q850412
Q28561969,P136,Q11399
Q28561969,P103,Q1860
Q28561969,P1412,Q1860
Q28561969,P1196,Q149086
Q28561969,P509,Q2140674
Q28561969,P1303,Q17172850
Q28561969,P1303,Q6607
Q28561969,P1303,Q5994
Q28561969,P264,Q183387
Q866,P1343,Q17290934
Q866,P17,Q30
Q866,P166,Q838121
Q866,P407,Q20923490
Q866,P127,Q95
Q866,P276,Q99
Q866,P6216,Q50423863
Q36204,P17,Q17
Q91226161,P462,Q22006653
Q91226161,P495,Q30
Q91226161,P364,Q1860
Q91226161,P272,Q8016302
Q91226161,P750,Q8016302
Q91226161,P750,Q1097348
Q91226161,P915,Q84
Q91226161,P136,Q319221
Q91226161,P136,Q188473
Q91226161,P136,Q471839
Q91226161,P136,Q157394
Q91226161,P136,Q1535153
Q28542230,P106,Q10800557
Q28542230,P106,Q10798782
Q28542230,P106,Q33999
Q28542230,P27,Q27
Q28542230,P1411,Q628637
Q28542230,P1411,Q723830
Q28542230,P1411,Q106291
Q28542230,P1412,Q1860
Q28542230,P101,Q222749
Q28542230,P166,Q548389
Q64010450,P106,Q19204627
Q64010450,P413,Q622747
Q64010450,P641,Q41323
Q64010450,P27,Q30
Q107287943,P17,Q145
Q459538,P27,Q30
Q459538,P106,Q43845
Q366563,P27,Q30
Q366563,P166,Q838121
Q366563,P166,Q1150306
Q366563,P166,Q17985761
Q366563,P166,Q179191
Q366563,P509,Q12152
Q366563,P106,Q33999
Q366563,P106,Q43845
Q366563,P106,Q3282637
Q366563,P106,Q28389
Q366563,P106,Q2722764
Q366563,P106,Q578109
Q366563,P1196,Q3739104
Q366563,P1412,Q1860
Q366563,P1340,Q17244894
Q366563,P103,Q1860
Q366563,P6886,Q1860
Q9682,P22,Q280856
Q9682,P25,Q10633
Q9682,P40,Q43274
Q9682,P40,Q153330
Q9682,P140,Q82708
Q9682,P27,Q145
Q9682,P166,Q10855226
Q9682,P166,Q215248
Q9682,P166,Q13377517
Q9682,P166,Q207826
Q9682,P166,Q93923
Q9682,P166,Q1331130
Q9682,P166,Q4710826
Q9682,P166,Q976544
Q9682,P166,Q5357263
Q9682,P53,Q81589
Q9682,P607,Q362
Q9682,P1343,Q17290934
Q9682,P1343,Q17378135
Q9682,P1343,Q67311526
Q9682,P793,Q362
Q9682,P106,Q116
Q9682,P106,Q10732476
Q9682,P106,Q2478141
Q9682,P1412,Q1860
Q9682,P1412,Q150
Q9682,P1340,Q17122834
Q9682,P551,Q42182
Q9682,P551,Q42646
Q9682,P6886,Q7979
Q9682,P463,Q123885
Q9682,P361,Q645968
Q9682,P85,Q40807
Q9682,P138,Q10633
Q9682,P138,Q76927
Q9682,P103,Q1860
Q9682,P172,Q842438
Q9682,P1050,Q84263196
Q9682,P1196,Q3739104
Q9682,P39,Q14931517
Q9682,P39,Q9134365
Q9682,P39,Q14931512
Q9682,P39,Q14931511
Q9682,P97,Q579431
Q9682,P97,Q9134365
Q9682,P97,Q14931512
Q9682,P97,Q14931511
Q9682,P97,Q14931517
Q31164,P27,Q145
Q31164,P106,Q488205
Q31164,P106,Q177220
Q31164,P106,Q753110
Q31164,P106,Q33999
Q31164,P106,Q55960555
Q31164,P106,Q36834
Q31164,P412,Q30903
Q31164,P1576,Q83364
Q31164,P1303,Q17172850
Q31164,P1303,Q6607
Q31164,P1303,Q5994
Q31164,P136,Q1298934
Q31164,P136,Q188450
Q31164,P136,Q11366
Q31164,P264,Q155152
Q31164,P264,Q231694
Q31164,P101,Q11895763
Q31164,P551,Q84
Q31164,P1340,Q17122705
Q31164,P103,Q7979
Q31164,P1412,Q7979
Q31164,P1412,Q1860
Q31164,P1412,Q150
Q355,P1343,Q17290934
Q355,P407,Q1860
Q355,P407,Q5287
Q355,P400,Q48493
Q355,P400,Q94
Q355,P1412,Q1860
Q355,P1412,Q1321
Q355,P1412,Q188
Q355,P1412,Q150
Q355,P1412,Q727694
Q117005456,P750,Q907311
Q117005456,P364,Q1860
Q117005456,P136,Q182015
Q117005456,P495,Q145
Q445448,P106,Q855091
Q445448,P106,Q36834
Q445448,P19,Q16568
Q445448,P27,Q30
Q445448,P1303,Q6607
Q445448,P136,Q852767
Q445448,P1343,Q67311526
Q445448,P1196,Q3739104
Q3127192,P495,Q668
Q3127192,P364,Q1568
Q3127192,P136,Q860626
Q3127192,P136,Q130232
Q3127192,P136,Q859369
Q3127192,P136,Q188473
Q3127192,P750,Q907311
Q3127192,P462,Q22006653
Q3127192,P437,Q723685
Q209330,P306,Q94
Q209330,P306,Q48493
Q209330,P159,Q62
Q209330,P407,Q20923490
Q209330,P275,Q3238057
Q209330,P750,Q135288
Q209330,P750,Q368215
Q209330,P17,Q30
Q209330,P6216,Q50423863
Q209330,P437,Q54820071
Q209330,P400,Q94
Q209330,P400,Q48493
Q292135,P106,Q177220
Q292135,P106,Q33999
Q292135,P106,Q36834
Q292135,P264,Q330629
Q292135,P551,Q8652
Q292135,P1340,Q17122705
Q292135,P1303,Q17172850
Q292135,P27,Q30
Q53909401,P106,Q33999
Q53909401,P106,Q10800557
Q53909401,P106,Q10798782
Q53909401,P27,Q408
Q53909401,P1412,Q1860
Q2904131,P19,Q18419
Q2904131,P27,Q30
Q2904131,P106,Q43845
Q2904131,P20,Q60
Q2904131,P1196,Q149086
Q2904131,P1412,Q1860
Q2631300,P27,Q30
Q2631300,P106,Q19204627
Q2631300,P106,Q42331263
Q2631300,P641,Q41323
Q2631300,P413,Q622747
Q2631300,P1532,Q30
Q60736806,P413,Q622747
Q60736806,P106,Q19204627
Q60736806,P27,Q30
Q60736806,P641,Q41323
Q66316924,P495,Q30
Q66316924,P364,Q1860
Q66316924,P462,Q22006653
Q66316924,P136,Q2484376
Q66316924,P136,Q130232
Q66316924,P136,Q52207310
Q66316924,P136,Q959790
Q66316924,P750,Q159846
Q66316924,P750,Q62446736
Q66316924,P750,Q1329615
Q66316924,P272,Q62446736
Q66316924,P1552,Q27847754
Q66316924,P1552,Q27834579
Q66316924,P437,Q723685
Q66316924,P437,Q47544021
Q66316924,P5021,Q4165246
Q1468607,P17,Q30
Q237324,P22,Q303
Q237324,P25,Q234773
Q237324,P106,Q177220
Q237324,P106,Q488205
Q237324,P106,Q36834
Q237324,P106,Q639669
Q237324,P106,Q49757
Q237324,P106,Q10798782
Q237324,P106,Q10800557
Q237324,P27,Q30
